Window_Period,Total_Trades,Win_Rate,Window_Return,Max_Drawdown,Avg_Hold_Bars,Profit_Factor
2023-01,31,67.74,12.0309,-0.8351,3.0,3.8788
2023-02,14,50.0,5.0611,-0.6946,4.3,3.4726
2023-03,20,60.0,18.2638,-0.9117,3.8,5.2003
2023-04,24,58.33,3.0424,-3.0955,3.4,1.3185
2023-05,5,40.0,-0.3974,-0.6766,4.2,0.7157
2023-06,15,73.33,3.565,-1.3371,3.7,2.1244
2023-07,10,50.0,0.7341,-0.425,4.2,2.5497
2023-08,14,50.0,1.227,-0.9724,3.6,1.592
2023-09,7,57.14,-1.1853,-1.1647,2.4,0.4368
2023-10,22,72.73,9.2342,-0.8092,3.9,4.0574
2023-11,11,63.64,0.7886,-1.6654,3.7,1.2703
2023-12,14,92.86,6.875,-0.6697,4.9,132.2023
2024-01,15,60.0,2.6313,-2.0644,4.7,1.5224
2024-02,19,78.95,14.2389,-0.9537,3.6,8.0658
2024-03,23,65.22,3.8356,-2.5867,4.0,1.507
2024-04,4,0.0,-2.5654,-1.1496,4.5,0.0
2024-05,20,70.0,9.0408,-1.8458,4.3,2.8212
2024-06,2,50.0,0.8085,-0.2405,5.5,3.1834
2024-07,14,71.43,4.0534,-0.5214,3.8,2.9337
2024-08,7,71.43,0.3788,-1.0195,5.0,1.3167
2024-09,11,81.82,5.0397,-0.2221,3.2,32.5771
2024-10,15,66.67,3.2996,-0.8598,2.9,2.0318
2024-11,24,66.67,7.6233,-1.4078,4.4,3.1585
2024-12,13,46.15,-0.5183,-2.0682,5.2,0.938
2025-01,10,50.0,-2.3792,-2.3301,2.8,0.5864
2025-02,2,50.0,0.2654,-0.1482,2.5,3.9133
2025-03,9,55.56,-0.8271,-1.8015,2.0,0.8133
2025-04,15,46.67,-3.2973,-2.5157,2.7,0.5205
2025-05,18,55.56,2.6999,-0.8698,3.5,1.6463
2025-06,13,30.77,-2.1887,-1.4974,3.5,0.3219
2025-07,12,58.33,0.1318,-0.9233,2.6,1.053
2025-08,11,36.36,-2.1866,-1.222,3.1,0.3326
2025-09,9,55.56,1.1485,-1.1944,3.3,1.4245
2025-10,13,61.54,-4.5796,-2.5051,2.7,0.2482
2025-11,2,50.0,-1.5565,-0.8606,4.5,0.0484
2025-12,9,22.22,-7.5647,-3.464,3.8,0.0188
2026-01,9,33.33,-0.9628,-1.1181,6.8,0.6271
2026-03,7,42.86,-2.6137,-1.7362,5.9,0.3992
2026-04,14,64.29,-0.2222,-1.3423,3.1,0.9268
2026-05,8,75.0,1.5028,-0.3435,4.2,5.0971
